customer,long,lat,product,mass,sale,duration,start,end
1,130072,-3684822,IQF,120,0,300,28800,61200
2,148077,-3701949,IQF,12,0,300,28801,61200
3,148077,-3701949,IQF,10,0,300,28802,61200
4,148077,-3701949,IQF,28,0,300,28803,61200
5,131204,-3683790,IQF,30,0,300,28804,61200
6,131204,-3683790,IQF,24,0,300,28805,61200
7,131204,-3683790,IQF,16,0,300,28806,61200
8,131204,-3683790,IQF,12,0,300,28807,61200
9,142229,-3699194,IQF,3648,0,300,28808,61200
10,142229,-3699194,IQF,184,0,300,28809,61200
11,136620,-3688442,IQF,900,0,300,28810,61200
12,136620,-3688442,IQF,6,0,300,28811,61200
13,130879,-3687327,IQF,24,0,300,28812,61200
14,130879,-3687327,IQF,70,0,300,28813,61200
15,145994,-3702637,IQF,900,0,300,28814,61200
16,145994,-3702637,IQF,58,0,300,28815,61200
17,150749,-3706465,IQF,936,0,300,28816,61200
18,150749,-3706465,IQF,46,0,300,28817,61200
19,146677,-3704908,IQF,1824,0,300,28818,61200
20,146677,-3704908,IQF,66,0,300,28819,61200
21,129993,-3684924,IQF,1800,0,300,28820,61200
22,129993,-3684924,IQF,280,0,300,28821,61200
23,147827,-3699312,IQF,1200,0,300,28822,61200
24,147827,-3699312,IQF,8,0,300,28823,61200
25,144221.60762,-3709064.68785,IQF,1,0,300,28824,61200
26,144221.60762,-3709064.68785,IQF,72,0,300,28825,61200
27,144221.60762,-3709064.68785,IQF,31,0,300,28826,61200
28,144221.60762,-3709064.68785,IQF,3,0,300,28827,61200
29,149465.55217,-3703087.18588,IQF,72,0,300,28828,61200
30,130072,-3684822,IQF,1,0,300,28829,61200
31,130072,-3684822,IQF,45,0,300,28830,61200
32,130072,-3684822,IQF,12,0,300,28831,61200
33,130072,-3684822,IQF,16,0,300,28832,61200
34,148077,-3701949,IQF,9,0,300,28833,61200
35,148077,-3701949,IQF,11,0,300,28834,61200
36,131204,-3683790,IQF,39,0,300,28835,61200
37,131204,-3683790,IQF,72,0,300,28836,61200
38,131204,-3683790,IQF,69,0,300,28837,61200
39,142229,-3699194,IQF,110,0,300,28838,61200
40,142229,-3699194,IQF,48,0,300,28839,61200
41,142229,-3699194,IQF,78,0,300,28840,61200
42,142229,-3699194,IQF,30,0,300,28841,61200
43,142229,-3699194,IQF,11,0,300,28842,61200
44,146389,-3697407,IQF,30,0,300,28843,61200
45,146389,-3697407,IQF,12,0,300,28844,61200
46,136620,-3688442,IQF,12,0,300,28845,61200
47,136620,-3688442,IQF,56,0,300,28846,61200
48,136620,-3688442,IQF,89,0,300,28847,61200
49,136620,-3688442,IQF,5,0,300,28848,61200
50,130879,-3687327,IQF,41,0,300,28849,61200
51,130879,-3687327,IQF,88,0,300,28850,61200
52,130879,-3687327,IQF,25,0,300,28851,61200
53,130879,-3687327,IQF,11,0,300,28852,61200
54,148390,-3689740,IQF,53,0,300,28853,61200
55,148390,-3689740,IQF,6,0,300,28854,61200
56,148390,-3689740,IQF,66,0,300,28855,61200
57,148390,-3689740,IQF,13,0,300,28856,61200
58,148390,-3689740,IQF,24,0,300,28857,61200
59,148390,-3689740,IQF,16,0,300,28858,61200
60,149461,-3705272,IQF,178,0,300,28859,61200
61,149461,-3705272,IQF,52,0,300,28860,61200
62,149461,-3705272,IQF,24,0,300,28861,61200
63,145994,-3702637,IQF,135,0,300,28862,61200
64,145994,-3702637,IQF,12,0,300,28863,61200
65,145994,-3702637,IQF,31,0,300,28864,61200
66,145994,-3702637,IQF,25,0,300,28865,61200
67,145994,-3702637,IQF,20,0,300,28866,61200
68,145994,-3702637,IQF,25,0,300,28867,61200
69,141185,-3692355,IQF,24,0,300,28868,61200
70,141185,-3692355,IQF,94,0,300,28869,61200
71,141185,-3692355,IQF,4,0,300,28870,61200
72,141185,-3692355,IQF,55,0,300,28871,61200
73,141185,-3692355,IQF,22,0,300,28872,61200
74,147422,-3708398,IQF,6,0,300,28873,61200
75,147422,-3708398,IQF,36,0,300,28874,61200
76,147422,-3708398,IQF,4,0,300,28875,61200
77,147422,-3708398,IQF,15,0,300,28876,61200
78,147422,-3708398,IQF,4,0,300,28877,61200
79,150749,-3706465,IQF,33,0,300,28878,61200
80,150749,-3706465,IQF,9,0,300,28879,61200
81,150749,-3706465,IQF,52,0,300,28880,61200
82,146677,-3704908,IQF,219,0,300,28881,61200
83,146677,-3704908,IQF,140,0,300,28882,61200
84,146677,-3704908,IQF,46,0,300,28883,61200
85,146677,-3704908,IQF,32,0,300,28884,61200
86,146677,-3704908,IQF,36,0,300,28885,61200
87,129993,-3684924,IQF,47,0,300,28886,61200
88,129993,-3684924,IQF,1,0,300,28887,61200
89,129993,-3684924,IQF,54,0,300,28888,61200
90,129993,-3684924,IQF,36,0,300,28889,61200
91,129993,-3684924,IQF,31,0,300,28890,61200
92,129993,-3684924,IQF,16,0,300,28891,61200
93,147827,-3699312,IQF,106,0,300,28892,61200
94,147827,-3699312,IQF,44,0,300,28893,61200
95,144221.60762,-3709064.68785,IQF,110,0,300,28894,61200
96,144221.60762,-3709064.68785,IQF,116,0,300,28895,61200
97,144221.60762,-3709064.68785,IQF,156,0,300,28896,61200
98,130072,-3684822,IQF,44,0,300,28897,61200
99,130072,-3684822,IQF,7,0,300,28898,61200
100,148077,-3701949,IQF,194,0,300,28899,61200
101,148077,-3701949,IQF,146,0,300,28900,61200
102,148077,-3701949,IQF,53,0,300,28901,61200
103,142208,-3708136,IQF,75,0,300,28902,61200
104,148565,-3708449,IQF,50,0,300,28903,61200
105,144091,-3705316,IQF,350,0,300,28904,61200
106,154932,-3709267,IQF,50,0,300,28905,61200
107,131204,-3683790,IQF,44,0,300,28906,61200
108,131204,-3683790,IQF,255,0,300,28907,61200
109,131204,-3683790,IQF,87,0,300,28908,61200
110,139449,-3706061,IQF,100,0,300,28909,61200
111,144482,-3708569,IQF,25,0,300,28910,61200
112,142229,-3699194,IQF,591,0,300,28911,61200
113,142229,-3699194,IQF,462,0,300,28912,61200
114,142229,-3699194,IQF,139,0,300,28913,61200
115,142229,-3699194,IQF,40,0,300,28914,61200
116,146389,-3697407,IQF,45,0,300,28915,61200
117,146389,-3697407,IQF,134,0,300,28916,61200
118,146389,-3697407,IQF,30,0,300,28917,61200
119,146389,-3697407,IQF,16,0,300,28918,61200
120,136620,-3688442,IQF,361,0,300,28919,61200
121,136620,-3688442,IQF,84,0,300,28920,61200
122,136620,-3688442,IQF,127,0,300,28921,61200
123,136620,-3688442,IQF,67,0,300,28922,61200
124,130879,-3687327,IQF,111,0,300,28923,61200
125,130879,-3687327,IQF,163,0,300,28924,61200
126,130879,-3687327,IQF,89,0,300,28925,61200
127,130879,-3687327,IQF,6,0,300,28926,61200
128,148390,-3689740,IQF,140,0,300,28927,61200
129,148390,-3689740,IQF,9,0,300,28928,61200
130,149461,-3705272,IQF,151,0,300,28929,61200
131,149461,-3705272,IQF,38,0,300,28930,61200
132,149461,-3705272,IQF,32,0,300,28931,61200
133,149461,-3705272,IQF,11,0,300,28932,61200
134,145994,-3702637,IQF,280,0,300,28933,61200
135,145994,-3702637,IQF,202,0,300,28934,61200
136,145994,-3702637,IQF,147,0,300,28935,61200
137,145994,-3702637,IQF,5,0,300,28936,61200
138,141185,-3692355,IQF,100,0,300,28937,61200
139,141185,-3692355,IQF,100,0,300,28938,61200
140,141185,-3692355,IQF,140,0,300,28939,61200
141,141185,-3692355,IQF,6,0,300,28940,61200
142,150749,-3706465,IQF,205,0,300,28941,61200
143,150749,-3706465,IQF,140,0,300,28942,61200
144,150749,-3706465,IQF,57,0,300,28943,61200
145,150749,-3706465,IQF,7,0,300,28944,61200
146,146677,-3704908,IQF,150,0,300,28945,61200
147,146677,-3704908,IQF,225,0,300,28946,61200
148,129993,-3684924,IQF,360,0,300,28947,61200
149,129993,-3684924,IQF,201,0,300,28948,61200
150,129993,-3684924,IQF,86,0,300,28949,61200
151,129993,-3684924,IQF,26,0,300,28950,61200
152,147827,-3699312,IQF,87,0,300,28951,61200
153,147827,-3699312,IQF,113,0,300,28952,61200
154,144221.60762,-3709064.68785,IQF,55,0,300,28953,61200
155,147422,-3708398,IQF,22,0,300,28954,61200
156,146677,-3704908,IQF,38,0,300,28955,61200
157,144221.60762,-3709064.68785,IQF,315,0,300,28956,61200
158,142229,-3699194,IQF,37,0,300,28957,61200
159,146389,-3697407,IQF,180,0,300,28958,61200
160,136620,-3688442,IQF,62,0,300,28959,61200
161,130879,-3687327,IQF,208,0,300,28960,61200
162,149461,-3705272,IQF,41,0,300,28961,61200
163,145994,-3702637,IQF,67,0,300,28962,61200
164,141185,-3692355,IQF,246,0,300,28963,61200
165,147091,-3689214,IQF,336,0,300,28964,61200
166,150749,-3706465,IQF,140,0,300,28965,61200
167,146677,-3704908,IQF,93,0,300,28966,61200
168,129993,-3684924,IQF,138,0,300,28967,61200
169,144221.60762,-3709064.68785,IQF,32,0,300,28968,61200
170,130072,-3684822,IQF,59,0,300,28969,61200
171,148077,-3701949,IQF,124,0,300,28970,61200
172,131204,-3683790,IQF,170,0,300,28971,61200
173,142229,-3699194,IQF,635,0,300,28972,61200
174,146389,-3697407,IQF,67,0,300,28973,61200
175,136620,-3688442,IQF,158,0,300,28974,61200
176,130879,-3687327,IQF,90,0,300,28975,61200
177,148390,-3689740,IQF,33,0,300,28976,61200
178,149461,-3705272,IQF,96,0,300,28977,61200
179,145994,-3702637,IQF,436,0,300,28978,61200
180,141185,-3692355,IQF,25,0,300,28979,61200
181,150749,-3706465,IQF,28,0,300,28980,61200
182,146677,-3704908,IQF,406,0,300,28981,61200
183,129993,-3684924,IQF,442,0,300,28982,61200
184,147827,-3699312,IQF,16,0,300,28983,61200
185,144221.60762,-3709064.68785,IQF,4,0,300,28984,61200
186,131204,-3683790,IQF,92,0,300,28985,61200
187,142229,-3699194,IQF,123,0,300,28986,61200
188,146389,-3697407,IQF,40,0,300,28987,61200
189,136620,-3688442,IQF,45,0,300,28988,61200
190,130879,-3687327,IQF,27,0,300,28989,61200
191,149461,-3705272,IQF,21,0,300,28990,61200
192,145994,-3702637,IQF,36,0,300,28991,61200
193,150749,-3706465,IQF,28,0,300,28992,61200
194,146677,-3704908,IQF,11,0,300,28993,61200
195,129993,-3684924,IQF,155,0,300,28994,61200
196,130072,-3684822,IQF,72,0,300,28995,61200
197,131204,-3683790,IQF,12,0,300,28996,61200
198,142229,-3699194,IQF,27,0,300,28997,61200
199,130879,-3687327,IQF,22,0,300,28998,61200
200,149461,-3705272,IQF,4,0,300,28999,61200
201,147827,-3699312,IQF,4,0,300,29000,61200
202,144221.60762,-3709064.68785,IQF,27,0,300,29001,61200
203,144221.60762,-3709064.68785,IQF,39,0,300,29002,61200
204,148077,-3701949,IQF,5,0,300,29003,61200
205,146389,-3697407,IQF,25,0,300,29004,61200
206,136620,-3688442,IQF,10,0,300,29005,61200
207,136620,-3688442,IQF,23,0,300,29006,61200
208,150749,-3706465,IQF,59,0,300,29007,61200
209,150749,-3706465,IQF,1,0,300,29008,61200
210,146677,-3704908,IQF,7,0,300,29009,61200
211,144221.60762,-3709064.68785,IQF,24,0,300,29010,61200
212,144221.60762,-3709064.68785,IQF,70,0,300,29011,61200
213,130072,-3684822,IQF,12,0,300,29012,61200
214,148077,-3701949,IQF,36,0,300,29013,61200
215,131204,-3683790,IQF,72,0,300,29014,61200
