customer,long,lat,product,mass,sale,duration,start,end
157,140325,-3704724,IQF,18,0,300,28956,61200
158,82592,-3711232,IQF,4,0,300,28957,61200
159,236515,-3638933,IQF,130,0,300,28958,61200
160,92058,-3704147,IQF,54,0,300,28959,61200
161,140325,-3704724,IQF,232,0,300,28960,61200
162,144763,-3705054,IQF,279,0,300,28961,61200
163,148565,-3708449,IQF,106,0,300,28962,61200
164,147044,-3696957,IQF,663,0,300,28963,61200
165,236515,-3638933,IQF,117,0,300,28964,61200
166,236515,-3638933,IQF,65,0,300,28965,61200
167,72098,-3710635,IQF,83,0,300,28966,61200
168,92058,-3704147,IQF,85,0,300,28967,61200
169,140325,-3704724,IQF,83,0,300,28968,61200
170,144763,-3705054,IQF,58,0,300,28969,61200
171,148565,-3708449,IQF,16,0,300,28970,61200
172,141959,-3699020,IQF,96,0,300,28971,61200
173,142208,-3708136,IQF,56,0,300,28972,61200
174,82592,-3711232,IQF,50,0,300,28973,61200
175,144091,-3705316,IQF,186,0,300,28974,61200
176,139449,-3706061,IQF,89,0,300,28975,61200
177,72098,-3710635,IQF,72,0,300,28976,61200
178,236515,-3638933,IQF,86,0,300,28977,61200
179,92058,-3704147,IQF,43,0,300,28978,61200
180,140325,-3704724,IQF,166,0,300,28979,61200
181,144763,-3705054,IQF,76,0,300,28980,61200
182,141959,-3699020,IQF,134,0,300,28981,61200
183,236515,-3638933,IQF,66,0,300,28982,61200
184,148565,-3708449,IQF,19,0,300,28983,61200
185,144091,-3705316,IQF,58,0,300,28984,61200
186,154932,-3709267,IQF,74,0,300,28985,61200
187,139449,-3706061,IQF,46,0,300,28986,61200
188,144482,-3708569,IQF,48,0,300,28987,61200
189,236515,-3638933,IQF,29,0,300,28988,61200
190,72098,-3710635,IQF,196,0,300,28989,61200
191,92058,-3704147,IQF,62,0,300,28990,61200
192,140325,-3704724,IQF,167,0,300,28991,61200
193,148565,-3708449,IQF,15,0,300,28992,61200
194,144091,-3705316,IQF,45,0,300,28993,61200
195,139449,-3706061,IQF,30,0,300,28994,61200
196,236515,-3638933,IQF,5,0,300,28995,61200
197,236515,-3638933,IQF,9,0,300,28996,61200
198,92058,-3704147,IQF,27,0,300,28997,61200
199,140325,-3704724,IQF,52,0,300,28998,61200
200,140325,-3704724,IQF,111,0,300,28999,61200
201,144763,-3705054,IQF,19,0,300,29000,61200
202,144763,-3705054,IQF,12,0,300,29001,61200
203,144763,-3705054,IQF,19,0,300,29002,61200
204,148565,-3708449,IQF,6,0,300,29003,61200
205,141959,-3699020,IQF,18,0,300,29004,61200
206,142208,-3708136,IQF,18,0,300,29005,61200
207,82592,-3711232,IQF,23,0,300,29006,61200
208,82592,-3711232,IQF,42,0,300,29007,61200
209,148565,-3708449,IQF,10,0,300,29008,61200
210,148565,-3708449,IQF,12,0,300,29009,61200
211,145355,-3704972,IQF,23,0,300,29010,61200
212,145355,-3704972,IQF,18,0,300,29011,61200
213,144482,-3708569,IQF,18,0,300,29012,61200
214,144482,-3708569,IQF,28,0,300,29013,61200
215,236515,-3638933,IQF,84,0,300,29014,61200
216,236515,-3638933,IQF,180,0,300,29015,61200
217,92058,-3704147,IQF,48,0,300,29016,61200
218,92058,-3704147,IQF,36,0,300,29017,61200
219,140325,-3704724,IQF,12,0,300,29018,61200
220,140325,-3704724,IQF,280,0,300,29019,61200
221,144763,-3705054,IQF,40,0,300,29020,61200
222,148565,-3708449,IQF,60,0,300,29021,61200
223,148565,-3708449,IQF,12,0,300,29022,61200
224,236515,-3638933,IQF,96,0,300,29023,61200
225,82592,-3711232,IQF,48,0,300,29024,61200
226,144091,-3705316,IQF,36,0,300,29025,61200
227,145355,-3704972,IQF,48,0,300,29026,61200
228,139449,-3706061,IQF,12,0,300,29027,61200
229,236515,-3638933,IQF,12,0,300,29028,61200
230,236515,-3638933,IQF,44,0,300,29029,61200
231,72098,-3710635,IQF,90,0,300,29030,61200
232,236515,-3638933,IQF,58,0,300,29031,61200
233,92058,-3704147,IQF,23,0,300,29032,61200
234,140325,-3704724,IQF,40,0,300,29033,61200
235,144763,-3705054,IQF,16,0,300,29034,61200
236,148565,-3708449,IQF,19,0,300,29035,61200
237,142208,-3708136,IQF,31,0,300,29036,61200
238,236515,-3638933,IQF,52,0,300,29037,61200
239,82592,-3711232,IQF,66,0,300,29038,61200
240,144091,-3705316,IQF,31,0,300,29039,61200
241,145355,-3704972,IQF,28,0,300,29040,61200
242,139449,-3706061,IQF,33,0,300,29041,61200
243,144482,-3708569,IQF,109,0,300,29042,61200
244,236515,-3638933,IQF,24,0,300,29043,61200
245,72098,-3710635,IQF,80,0,300,29044,61200
246,141959,-3699020,IQF,156,0,300,29045,61200
247,236515,-3638933,IQF,48,0,300,29046,61200
248,82592,-3711232,IQF,600,0,300,29047,61200
249,145355,-3704972,IQF,120,0,300,29048,61200
250,154932,-3709267,IQF,180,0,300,29049,61200
251,139449,-3706061,IQF,144,0,300,29050,61200
