vehId, score, numOfAct, totDist, totTravelTime, totActTime
truck_15_1,-314652.04,98,87209.75,4561.00,29400.00
truck_6_1,-314652.04,37,46148.40,2289.00,14100.00
truck_12_1,-314652.04,90,75576.58,4175.00,29700.00
