vehId, score, numOfAct, totDist, totTravelTime, totActTime
truck_15_1_0,-153017.67,90,75576.58,4175.00,29700.00
truck_15_1,-153017.67,49,46333.01,2242.00,17700.00
truck_15_1_1,-153017.67,86,81231.39,4237.00,25800.00
