vehId, score, numOfAct, totDist, totTravelTime, totActTime
truck_6_1,-115824.78,53,362183.13,20329.00,16200.00
truck_3_1_0,-115824.78,31,412883.67,19722.00,9300.00
truck_3_1_1,-115824.78,30,388397.53,19400.00,9000.00
truck_3_1,-115824.78,54,413257.41,19754.00,16200.00
