vehId, score, numOfAct, totDist, totTravelTime, totActTime
truck_15_1_0,-390180.18,90,187693.25,7114.00,27000.00
truck_15_1,-390180.18,52,201513.60,8923.00,22200.00
truck_15_1_1,-390180.18,84,62217.24,3020.00,26100.00
