vehId, score, numOfAct, totDist, totTravelTime, totActTime
truck_15_1,-768338.32,87,210928.65,9788.00,27000.00
truck_12_1,-768338.32,90,187693.25,7114.00,27000.00
truck_3_1_0,-768338.32,41,56169.36,2485.00,15600.00
truck_3_1,-768338.32,14,196364.90,8591.00,5700.00
