vehId, score, numOfAct, totDist, totTravelTime, totActTime
truck_15_1,-816282.05,52,201513.60,8923.00,22200.00
truck_6_1,-816282.05,84,62217.24,3020.00,26100.00
truck_12_1,-816282.05,90,187693.25,7114.00,27000.00
